<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,60,20211213,190000,320.74,322.986,319.577,320.285,3680811,0
TSLA.US,60,20211213,200000,320.203,321.298,317.595,318.147,3270780,0
TSLA.US,60,20211213,210000,318.067,324.3,317.14,323.605,4921119,0
TSLA.US,60,20211213,220000,323.543,325.213,321.54,322.137,7725387,0
TSLA.US,60,20211214,160000,315,319.097,310.187,317.8,8201721,0
TSLA.US,60,20211214,170000,317.873,319.49,313.697,315,5966142,0
TSLA.US,60,20211214,180000,314.953,316.17,311.897,313.338,4311519,0
TSLA.US,60,20211214,190000,313.333,314.117,310,311.423,4680843,0
TSLA.US,60,20211214,200000,311.433,314.043,310.667,311.163,3289620,0
TSLA.US,60,20211214,210000,311.171,315.47,310.833,314.953,3980445,0
TSLA.US,60,20211214,220000,314.773,322.137,314.655,319.503,8726949,0
TSLA.US,60,20211215,160000,317.737,323.883,316.167,319.243,4831539,0
TSLA.US,60,20211215,170000,319.327,319.829,313.787,314.307,5463114,0
TSLA.US,60,20211215,180000,314.407,315.093,310.353,310.897,5511735,0
TSLA.US,60,20211215,190000,310.897,314.73,309.417,313.323,4116948,0
TSLA.US,60,20211215,200000,313.367,314.273,311.177,314.161,2431095,0
TSLA.US,60,20211215,210000,313.637,320.667,311.9,316.633,7828608,0
TSLA.US,60,20211215,220000,316.63,326.25,316.25,325.33,10533225,0
TSLA.US,60,20211216,160000,331.5,331.66,319.405,319.717,6538113,0
TSLA.US,60,20211216,170000,319.774,322.1,313.077,313.894,8369778,0
TSLA.US,60,20211216,180000,313.863,314.59,310.11,310.89,6602061,0
TSLA.US,60,20211216,190000,310.537,313.833,309.667,311.143,4364706,0
TSLA.US,60,20211216,200000,310.997,315.333,310.949,312.36,3495066,0
TSLA.US,60,20211216,210000,312.353,313.167,308.383,310.05,4969662,0
TSLA.US,60,20211216,220000,309.933,312.667,307.283,308.973,8786862,0
TSLA.US,60,20211217,160000,304.923,313.953,303.013,313,11152314,0
TSLA.US,60,20211217,170000,312.948,319.857,305.357,318.157,10685079,0
TSLA.US,60,20211217,180000,318.092,320.22,313.807,315.55,5333877,0
TSLA.US,60,20211217,190000,315.537,316.91,312.93,314.364,3131436,0
TSLA.US,60,20211217,200000,314.21,316.663,313.84,316.248,2303820,0
TSLA.US,60,20211217,210000,316.3,318.2,313.5,314.206,3139749,0
TSLA.US,60,20211217,220000,314.14,315.527,310.383,310.857,21059628,0
TSLA.US,60,20211220,160000,303.567,303.567,303.283,303.333,23253,0
TSLA.US,60,20211220,170000,304.37,305.167,298.375,299.39,5409744,0
TSLA.US,60,20211220,180000,299.377,302.833,297.797,301.987,4660005,0
TSLA.US,60,20211220,190000,301.904,303.333,299.91,300.294,2791077,0
TSLA.US,60,20211220,200000,300.11,301.553,298.893,299.757,2503290,0
TSLA.US,60,20211220,210000,299.865,301.863,299,300.257,2082678,0
TSLA.US,60,20211220,220000,300.28,301.477,299.167,299.98,4486950,0
TSLA.US,60,20211221,160000,305.623,307.923,301.167,301.38,6113226,0
TSLA.US,60,20211221,170000,301.38,302.63,295.373,298.72,7461423,0
TSLA.US,60,20211221,180000,298.69,304.115,297.743,302.96,4737618,0
TSLA.US,60,20211221,190000,302.965,304.587,301.51,304.587,2987637,0
TSLA.US,60,20211221,200000,304.532,312.2,304.387,309.375,6736947,0
TSLA.US,60,20211221,210000,309.427,311.657,308.74,311.112,4416096,0
TSLA.US,60,20211221,220000,311.113,313.167,309.567,312.843,6377028,0
TSLA.US,60,20211222,160000,321.887,328.367,319.017,327.687,9874731,0
TSLA.US,60,20211222,170000,327.767,333.267,325.187,332.863,9654795,0
TSLA.US,60,20211222,180000,332.883,338.553,332.44,335.05,10022322,0
TSLA.US,60,20211222,190000,335.127,336.75,331.17,331.993,4513995,0
TSLA.US,60,20211222,200000,332.066,333.48,329.633,332.053,4241997,0
TSLA.US,60,20211222,210000,332.103,335.423,331.143,334.847,5073555,0
TSLA.US,60,20211222,220000,335.057,336.713,333,336.29,7344939,0
TSLA.US,60,20211223,160000,335.6,338.163,332.52,335.84,6021426,0
TSLA.US,60,20211223,170000,335.817,347.737,335.47,347.56,11031027,0
TSLA.US,60,20211223,180000,347.603,351.94,346.783,351.587,8564649,0
TSLA.US,60,20211223,190000,351.56,356.367,351.177,354.707,8518758,0
TSLA.US,60,20211223,200000,354.697,356.33,352.53,355.493,3998238,0
TSLA.US,60,20211223,210000,355.51,357.66,354.033,355.817,4837686,0
TSLA.US,60,20211223,220000,355.76,356.45,352.833,355.667,8143392,0
TSLA.US,60,20211227,160000,357.89,366.327,356.907,364.09,7569939,0
TSLA.US,60,20211227,170000,364.1,371.093,362.333,369.957,8434164,0
TSLA.US,60,20211227,180000,370.067,370.873,366.64,370.873,4756845,0
TSLA.US,60,20211227,190000,370.837,372.333,368.833,370.853,4075866,0
TSLA.US,60,20211227,200000,370.843,371.59,368.5,369.613,2356329,0
TSLA.US,60,20211227,210000,369.667,370.887,368.147,368.7,2232666,0
TSLA.US,60,20211227,220000,368.813,368.813,362.533,364.647,8377296,0
TSLA.US,60,20211228,160000,369.83,373,363.08,365.667,6601689,0
TSLA.US,60,20211228,170000,365.663,366.33,359.473,362.497,6686754,0
TSLA.US,60,20211228,180000,362.567,366,360.37,365.42,3660963,0
TSLA.US,60,20211228,190000,365.453,367.333,362.67,363.667,4054113,0
TSLA.US,60,20211228,200000,363.54,365.74,361.93,363.573,2431956,0
TSLA.US,60,20211228,210000,363.533,364.433,361.433,363.79,2894628,0
TSLA.US,60,20211228,220000,363.84,366.263,362.053,362.823,5472234,0
TSLA.US,60,20211229,160000,366.213,368,360.353,361.1,4508637,0
TSLA.US,60,20211229,170000,361.197,361.34,354.713,361.227,6968022,0
TSLA.US,60,20211229,180000,361.133,362.48,357.5,358.073,4018227,0
TSLA.US,60,20211229,190000,358.133,361.5,357.503,360.923,2580408,0
TSLA.US,60,20211229,200000,360.93,363.667,360.637,362.667,3858183,0
TSLA.US,60,20211229,210000,362.637,365.703,362.243,364.313,3710787,0
TSLA.US,60,20211229,220000,364.393,364.497,361.433,362.063,5599899,0
TSLA.US,60,20211230,160000,353.777,358.167,351.797,357.98,5470002,0
TSLA.US,60,20211230,170000,357.987,361.33,357.087,358.45,4551174,0
TSLA.US,60,20211230,180000,358.45,363.307,358.4,362.58,3331896,0
TSLA.US,60,20211230,190000,362.53,365.183,362.507,363.76,3081045,0
TSLA.US,60,20211230,200000,363.873,363.94,361.22,361.863,1834317,0
TSLA.US,60,20211230,210000,361.803,361.863,359.4,360.433,2122275,0
TSLA.US,60,20211230,220000,360.5,360.5,356.11,356.78,4674147,0
TSLA.US,60,20211231,160000,357.813,360.667,355.413,357,3494847,0
TSLA.US,60,20211231,170000,356.78,357.65,354.333,355.63,3199542,0
TSLA.US,60,20211231,180000,355.64,358.783,354.42,356.86,3142371,0
TSLA.US,60,20211231,190000,356.837,357.81,355.453,357.143,1727079,0
TSLA.US,60,20211231,200000,357.163,357.333,354.95,355.293,1443198,0
TSLA.US,60,20211231,210000,355.283,355.57,353.167,354,2301876,0
TSLA.US,60,20211231,220000,354.043,354.977,351.53,352.26,5067054,0
TSLA.US,60,20220103,160000,382.583,390,378.68,383,13202610,0
TSLA.US,60,20220103,170000,383.093,389.507,382.167,389.433,7809213,0
TSLA.US,60,20220103,180000,389.383,391.363,386.78,388.53,6090201,0
TSLA.US,60,20220103,190000,388.42,391.933,387.57,391.36,3768939,0
TSLA.US,60,20220103,200000,391.333,393.527,390.93,392.74,4349679,0
TSLA.US,60,20220103,210000,392.667,398.287,392.483,398.16,6313659,0
TSLA.US,60,20220103,220000,398.127,400.357,395.8,399.927,13761933,0
TSLA.US,60,20220104,160000,396.517,402.667,392.7,396.787,8978922,0
TSLA.US,60,20220104,170000,396.793,397.02,383.883,383.993,10745358,0
TSLA.US,60,20220104,180000,384.09,385.18,374.35,380.873,11699568,0
TSLA.US,60,20220104,190000,380.69,388.333,380.4,385.723,5380713,0
TSLA.US,60,20220104,200000,385.677,388.617,380.38,380.63,4459926,0
TSLA.US,60,20220104,210000,380.563,384.59,378.44,381.897,5636727,0
TSLA.US,60,20220104,220000,381.873,385,380.167,383.197,6641925,0
TSLA.US,60,20220105,160000,382.217,387.533,376.343,387.19,6401922,0
TSLA.US,60,20220105,170000,387.237,390.113,380.723,384.197,7420119,0
TSLA.US,60,20220105,180000,384.13,385.96,380.37,380.7,3177738,0
TSLA.US,60,20220105,190000,380.65,381.993,378.177,379.333,2896026,0
TSLA.US,60,20220105,200000,379.46,380.773,377.333,379.027,2796222,0
TSLA.US,60,20220105,210000,378.92,381.99,368.067,368.333,7459194,0
TSLA.US,60,20220105,220000,368.333,369,360.337,362.707,13562805,0
TSLA.US,60,20220106,160000,359,362.667,346.667,349.67,9058110,0
TSLA.US,60,20220106,170000,349.997,356.28,340.167,355.117,15526827,0
TSLA.US,60,20220106,180000,355.08,359.27,349.703,354,7083186,0
TSLA.US,60,20220106,190000,354,358.38,353.023,356.633,3615291,0
TSLA.US,60,20220106,200000,356.667,357.47,353.083,355.73,3065049,0
TSLA.US,60,20220106,210000,355.633,360,353.2,358.73,3321966,0
TSLA.US,60,20220106,220000,358.703,361.52,352.71,354.9,6334971,0
TSLA.US,60,20220107,160000,360.123,360.31,350.97,357.783,5724885,0
TSLA.US,60,20220107,170000,357.993,358.177,343.333,346.967,9316758,0
TSLA.US,60,20220107,180000,347.137,348.667,341.117,347.167,7228932,0
TSLA.US,60,20220107,190000,347.25,348.01,342.573,346.117,3911448,0
TSLA.US,60,20220107,200000,346,346.447,340.267,341.387,4220796,0
TSLA.US,60,20220107,210000,341.59,346.5,336.667,344,8217387,0
TSLA.US,60,20220107,220000,344.05,346.487,339.74,342.32,8311086,0
TSLA.US,60,20220110,160000,333.333,335.79,326.667,331.017,8363181,0
TSLA.US,60,20220110,170000,330.91,339.087,328.417,335.513,10037505,0
TSLA.US,60,20220110,180000,335.173,343.977,333.167,342.057,7690044,0
TSLA.US,60,20220110,190000,342.05,342.05,335.087,340.807,4074807,0
TSLA.US,60,20220110,200000,340.943,342.937,338.1,341.757,3631107,0
TSLA.US,60,20220110,210000,341.753,348.147,341.56,346.15,5260371,0
TSLA.US,60,20220110,220000,346.223,353.033,344.523,352.757,7226766,0
TSLA.US,60,20220111,160000,351.223,354.2,346.273,351.393,6454236,0
TSLA.US,60,20220111,170000,351.883,358.333,348.067,351.12,8476950,0
TSLA.US,60,20220111,180000,351.333,358.617,351.083,357,5702295,0
TSLA.US,60,20220111,190000,357,357.33,351.1,354.777,3849852,0
TSLA.US,60,20220111,200000,354.957,355.853,352.18,354.527,2718621,0
TSLA.US,60,20220111,210000,354.313,355.77,351.167,353.127,3213690,0
TSLA.US,60,20220111,220000,353.23,355.4,351.497,354.8,4987479,0
TSLA.US,60,20220112,160000,359.617,362.96,357.53,361.78,7307022,0
TSLA.US,60,20220112,170000,361.833,367.653,360.417,363,10810455,0
TSLA.US,60,20220112,180000,363,365.583,361.243,364.02,5101815,0
TSLA.US,60,20220112,190000,364.083,367.383,362.583,367.02,3750573,0
TSLA.US,60,20220112,200000,367.117,367.8,364.833,366.183,3870531,0
TSLA.US,60,20220112,210000,366,371.28,364.46,371.017,6857847,0
TSLA.US,60,20220112,220000,371.07,371.613,368.333,368.74,8022906,0
TSLA.US,60,20220113,160000,369.687,371.867,366.333,370.473,6382641,0
TSLA.US,60,20220113,170000,370.487,370.867,356.373,358.02,10938900,0
TSLA.US,60,20220113,180000,358.017,361.333,355,358.123,7489938,0
TSLA.US,60,20220113,190000,358,358.183,350.433,352.66,7568010,0
TSLA.US,60,20220113,200000,352.577,355.8,351.167,355.5,4926477,0
TSLA.US,60,20220113,210000,355.473,357.347,350.963,353.123,4867233,0
TSLA.US,60,20220113,220000,353.03,353.03,342.18,343.853,11727003,0
TSLA.US,60,20220114,160000,339.96,348.317,337.793,345.523,8046573,0
TSLA.US,60,20220114,170000,345.5,349.55,341.563,345.027,7423650,0
TSLA.US,60,20220114,180000,344.997,348.5,342.123,347.047,4862016,0
TSLA.US,60,20220114,190000,347.133,347.533,342.267,342.557,2655027,0
TSLA.US,60,20220114,200000,342.5,347.093,340,345.94,4189491,0
TSLA.US,60,20220114,210000,345.92,346.85,342.817,345.183,3612612,0
TSLA.US,60,20220114,220000,345.333,350.667,345.113,349.87,6929067,0
TSLA.US,60,20220118,160000,342.2,348.85,338.687,348,5157702,0
TSLA.US,60,20220118,170000,348.173,356.93,346.093,349.61,7383408,0
TSLA.US,60,20220118,180000,349.627,351.933,346.283,351.12,4213767,0
TSLA.US,60,20220118,190000,351.333,351.767,345.367,347.11,3063414,0
TSLA.US,60,20220118,200000,347.17,347.923,344.003,347.577,3289662,0
TSLA.US,60,20220118,210000,347.587,351.253,346.073,350,3718473,0
TSLA.US,60,20220118,220000,349.837,350.837,342.23,343.503,7182405,0
TSLA.US,60,20220119,160000,347.233,351.557,344.203,345.333,4720803,0
TSLA.US,60,20220119,170000,345.4,346,334.333,337.95,7391331,0
TSLA.US,60,20220119,180000,337.87,339.63,331.833,336.677,7846650,0
